Date : 2024-10-17 20:37:47
Directory : c:\Users\User\dev\Meeting-App\HaMeetz
Total : 212 files,  34343 codes, 11609 comments, 11426 blanks, all 57378 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| .next\static\chunks\app\(root)\(home)                                                                                   |          4 |      5,839 |      3,533 |      3,516 |     12,888 |
| .next\static\chunks\app\(root)\(home) (Files)                                                                           |          2 |      3,157 |      1,906 |      1,901 |      6,964 |
| .next\static\chunks\app\(root)\(home)\personal-room                                                                     |          1 |      1,294 |        785 |        779 |      2,858 |
| .next\static\chunks\app\(root)\(home)\recordings                                                                        |          1 |      1,388 |        842 |        836 |      3,066 |
| .next\static\css                                                                                                        |          1 |      4,892 |        165 |        371 |      5,428 |
| .next\static\css\app                                                                                                    |          1 |      4,892 |        165 |        371 |      5,428 |
| .next\static\development                                                                                                |          2 |          2 |          0 |          0 |          2 |
| .next\static\webpack                                                                                                    |         12 |         58 |         56 |          4 |        118 |
| .next\static\webpack (Files)                                                                                            |         11 |         51 |         45 |          0 |         96 |
| .next\static\webpack\app                                                                                                |          1 |          7 |         11 |          4 |         22 |
| .next\types                                                                                                             |          9 |        417 |         80 |        144 |        641 |
| .next\types (Files)                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| .next\types\app                                                                                                         |          8 |        416 |         80 |        144 |        640 |
| .next\types\app (Files)                                                                                                 |          1 |         52 |         10 |         18 |         80 |
| .next\types\app\(auth)                                                                                                  |          2 |        104 |         20 |         36 |        160 |
| .next\types\app\(auth)\sign-in                                                                                          |          1 |         52 |         10 |         18 |         80 |
| .next\types\app\(auth)\sign-in\[[...sigin-in]]                                                                          |          1 |         52 |         10 |         18 |         80 |
| .next\types\app\(auth)\sign-up                                                                                          |          1 |         52 |         10 |         18 |         80 |
| .next\types\app\(auth)\sign-up\[[...sign-up]]                                                                           |          1 |         52 |         10 |         18 |         80 |
| .next\types\app\(root)                                                                                                  |          5 |        260 |         50 |         90 |        400 |
| .next\types\app\(root) (Files)                                                                                          |          1 |         52 |         10 |         18 |         80 |
| .next\types\app\(root)\(home)                                                                                           |          4 |        208 |         40 |         72 |        320 |
| .next\types\app\(root)\(home) (Files)                                                                                   |          2 |        104 |         20 |         36 |        160 |
| .next\types\app\(root)\(home)\personal-room                                                                             |          1 |         52 |         10 |         18 |         80 |
| .next\types\app\(root)\(home)\recordings                                                                                |          1 |         52 |         10 |         18 |         80 |
| actions                                                                                                                 |          1 |         16 |          0 |          9 |         25 |
| app                                                                                                                     |         12 |        343 |          5 |         85 |        433 |
| app (Files)                                                                                                             |          2 |        131 |          4 |         27 |        162 |
| app\(auth)                                                                                                              |          2 |         16 |          0 |          4 |         20 |
| app\(auth)\sign-in                                                                                                      |          1 |          8 |          0 |          2 |         10 |
| app\(auth)\sign-in\[[...sigin-in]]                                                                                      |          1 |          8 |          0 |          2 |         10 |
| app\(auth)\sign-up                                                                                                      |          1 |          8 |          0 |          2 |         10 |
| app\(auth)\sign-up\[[...sign-up]]                                                                                       |          1 |          8 |          0 |          2 |         10 |
| app\(root)                                                                                                              |          8 |        196 |          1 |         54 |        251 |
| app\(root) (Files)                                                                                                      |          1 |         10 |          0 |          4 |         14 |
| app\(root)\(home)                                                                                                       |          6 |        148 |          0 |         39 |        187 |
| app\(root)\(home) (Files)                                                                                               |          2 |         45 |          0 |         13 |         58 |
| app\(root)\(home)\personal-room                                                                                         |          1 |         73 |          0 |         14 |         87 |
| app\(root)\(home)\previous                                                                                              |          1 |         10 |          0 |          4 |         14 |
| app\(root)\(home)\recordings                                                                                            |          1 |         10 |          0 |          4 |         14 |
| app\(root)\(home)\upcoming                                                                                              |          1 |         10 |          0 |          4 |         14 |
| app\(root)\meeting                                                                                                      |          1 |         38 |          1 |         11 |         50 |
| app\(root)\meeting\[id]                                                                                                 |          1 |         38 |          1 |         11 |         50 |
| components                                                                                                              |         24 |      1,752 |          9 |        236 |      1,997 |
| components (Files)                                                                                                      |         13 |        831 |          6 |        105 |        942 |
| components\ui                                                                                                           |         11 |        921 |          3 |        131 |      1,055 |
| constants                                                                                                               |          1 |         34 |          0 |          3 |         37 |
| hooks                                                                                                                   |          2 |         63 |          2 |         19 |         84 |
| lib                                                                                                                     |          1 |          5 |          0 |          2 |          7 |
| providers                                                                                                               |          1 |         28 |          0 |         11 |         39 |
| public                                                                                                                  |         19 |         69 |          1 |         19 |         89 |
| public\icons                                                                                                            |         19 |         69 |          1 |         19 |         89 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\User\dev\Meeting-App\HaMeetz\.env                                                                              | Properties         |          6 |          0 |          2 |          8 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.eslintrc.json                                                                    | JSON with Comments |          8 |          0 |          1 |          9 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\app-build-manifest.json                                                     | JSON               |         45 |          0 |          0 |         45 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\build-manifest.json                                                         | JSON               |         19 |          0 |          0 |         19 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\package.json                                                                | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\react-loadable-manifest.json                                                | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app-paths-manifest.json                                              | JSON               |          7 |          0 |          0 |          7 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(auth)\sign-in\[[...sigin-in]]\page.js                           | JavaScript         |        109 |         66 |         63 |        238 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(auth)\sign-in\[[...sigin-in]]\page_client-reference-manifest.js | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(auth)\sign-up\[[...sign-up]]\page.js                            | JavaScript         |        109 |         66 |         63 |        238 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(auth)\sign-up\[[...sign-up]]\page_client-reference-manifest.js  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\page.js                                            | JavaScript         |        338 |        194 |        202 |        734 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\page_client-reference-manifest.js                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\personal-room\page.js                              | JavaScript         |        318 |        179 |        189 |        686 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\personal-room\page_client-reference-manifest.js    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\recordings\page.js                                 | JavaScript         |        328 |        185 |        195 |        708 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\recordings\page_client-reference-manifest.js       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\edge-runtime-webpack.js                                              | JavaScript         |      1,061 |        106 |          0 |      1,167 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\interception-route-rewrite-manifest.js                               | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware-build-manifest.js                                         | JavaScript         |         20 |          0 |          1 |         21 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware-manifest.json                                             | JSON               |         29 |          0 |          0 |         29 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware-react-loadable-manifest.js                                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware.js                                                        | JavaScript         |        703 |        435 |        427 |      1,565 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\next-font-manifest.js                                                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\next-font-manifest.json                                              | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\pages-manifest.json                                                  | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\server-reference-manifest.js                                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\server-reference-manifest.json                                       | JSON               |         46 |          0 |          0 |         46 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\static\webpack\633457081244afec._.hot-update.json                    | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@babel.js                                              | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@clerk.js                                              | JavaScript         |        818 |        536 |        587 |      1,941 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@floating-ui.js                                        | JavaScript         |         34 |         29 |         22 |         85 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@kurkle.js                                             | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@protobuf-ts.js                                        | JavaScript         |        142 |        110 |        103 |        355 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@radix-ui.js                                           | JavaScript         |         82 |         65 |         58 |        205 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@stream-io.js                                          | JavaScript         |         26 |         23 |         16 |         65 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@swc.js                                                | JavaScript         |         30 |         26 |         19 |         75 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\aria-hidden.js                                         | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\asynckit.js                                            | JavaScript         |         45 |         38 |         31 |        114 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\axios.js                                               | JavaScript         |        288 |        179 |        172 |        639 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\base64-js.js                                           | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\buffer-equal-constant-time.js                          | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\chart.js.js                                            | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\class-variance-authority.js                            | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\classnames.js                                          | JavaScript         |          9 |         11 |          4 |         24 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\clsx.js                                                | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\combined-stream.js                                     | JavaScript         |          9 |         11 |          4 |         24 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\cookie.js                                              | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\crypto-js.js                                           | JavaScript         |         85 |         68 |         61 |        214 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\date-fns.js                                            | JavaScript         |        518 |        392 |        385 |      1,295 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\debug.js                                               | JavaScript         |         21 |         20 |         13 |         54 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\delayed-stream.js                                      | JavaScript         |          9 |         11 |          4 |         24 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\dot-case.js                                            | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\ecdsa-sig-formatter.js                                 | JavaScript         |         22 |         20 |         13 |         55 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\follow-redirects.js                                    | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\get-nonce.js                                           | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\has-flag.js                                            | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\i18next.js                                             | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\isomorphic-ws.js                                       | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\jsonwebtoken.js                                        | JavaScript         |        101 |         80 |         73 |        254 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\jwa.js                                                 | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\jws.js                                                 | JavaScript         |         45 |         38 |         31 |        114 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.includes.js                                     | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isboolean.js                                    | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isinteger.js                                    | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isnumber.js                                     | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isplainobject.js                                | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isstring.js                                     | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.once.js                                         | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lower-case.js                                          | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lucide-react.js                                        | JavaScript         |         22 |         20 |         13 |         55 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\map-obj.js                                             | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\mime-db.js                                             | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\mime-types.js                                          | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\ms.js                                                  | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\next.js                                                | JavaScript         |      1,720 |      1,059 |      1,047 |      3,826 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\no-case.js                                             | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\proxy-from-env.js                                      | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-chartjs-2.js                                     | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-datepicker.js                                    | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-onclickoutside.js                                | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-remove-scroll-bar.js                             | JavaScript         |         22 |         20 |         13 |         55 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-remove-scroll.js                                 | JavaScript         |         34 |         29 |         22 |         85 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-style-singleton.js                               | JavaScript         |         22 |         20 |         13 |         55 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\rxjs.js                                                | JavaScript         |        302 |        230 |        223 |        755 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\safe-buffer.js                                         | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\sdp-transform.js                                       | JavaScript         |         21 |         20 |         13 |         54 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\sdp.js                                                 | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\semver.js                                              | JavaScript         |        367 |        278 |        271 |        916 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\snake-case.js                                          | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\snakecase-keys.js                                      | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\supports-color.js                                      | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\swr.js                                                 | JavaScript         |         18 |         17 |         10 |         45 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\tabbable.js                                            | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\tailwind-merge.js                                      | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\tslib.js                                               | JavaScript         |         18 |         17 |         10 |         45 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\ua-parser-js.js                                        | JavaScript         |          9 |         11 |          4 |         24 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\use-callback-ref.js                                    | JavaScript         |         18 |         17 |         10 |         45 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\use-sidecar.js                                         | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\use-sync-external-store.js                             | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\uuid.js                                                | JavaScript         |         30 |         26 |         19 |         75 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\webrtc-adapter.js                                      | JavaScript         |         50 |         41 |         34 |        125 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\ws.js                                                  | JavaScript         |         62 |         50 |         43 |        155 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\yallist.js                                             | JavaScript         |         22 |         20 |         13 |         55 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\webpack-runtime.js                                                   | JavaScript         |        185 |         40 |          0 |        225 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app-pages-internals.js                                        | JavaScript         |         63 |         41 |         34 |        138 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(auth)\sign-in\[[...sigin-in]]\page.js                    | JavaScript         |        419 |        251 |        252 |        922 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(auth)\sign-up\[[...sign-up]]\page.js                     | JavaScript         |        419 |        251 |        252 |        922 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\layout.js                                   | JavaScript         |        858 |        515 |        516 |      1,889 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\page.js                                     | JavaScript         |      2,299 |      1,391 |      1,385 |      5,075 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\personal-room\page.js                       | JavaScript         |      1,294 |        785 |        779 |      2,858 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\recordings\page.js                          | JavaScript         |      1,388 |        842 |        836 |      3,066 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\layout.js                                          | JavaScript         |      1,375 |        839 |        812 |      3,026 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\layout.js                                                 | JavaScript         |        592 |        356 |        357 |      1,305 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\main-app.js                                                   | JavaScript         |        905 |        551 |        544 |      2,000 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\polyfills.js                                                  | JavaScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\webpack.js                                                    | JavaScript         |      1,296 |        124 |          0 |      1,420 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\css\app\layout.css                                                   | CSS                |      4,892 |        165 |        371 |      5,428 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\development\_buildManifest.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\development\_ssgManifest.js                                          | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\01edabd00b34fe55.webpack.hot-update.json                     | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\2919bf2b34e1148e.webpack.hot-update.json                     | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\633457081244afec._.hot-update.json                           | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\8246055a73ce58b6.webpack.hot-update.json                     | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\92cd5d66121cabed.webpack.hot-update.json                     | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\94026f913171189a.webpack.hot-update.json                     | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\app\layout.2919bf2b34e1148e.hot-update.js                    | JavaScript         |          7 |         11 |          4 |         22 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.01edabd00b34fe55.hot-update.js                       | JavaScript         |          9 |          9 |          0 |         18 |
