Date : 2024-10-17 20:37:47
Directory : c:\Users\User\dev\Meeting-App\HaMeetz
Total : 212 files,  34343 codes, 11609 comments, 11426 blanks, all 57378 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        115 |     19,690 |     11,343 |     10,512 |     41,545 |
| JSON               |         20 |      6,911 |          0 |          2 |      6,913 |
| CSS                |          2 |      4,979 |        169 |        393 |      5,541 |
| TypeScript JSX     |         35 |      1,876 |          7 |        278 |      2,161 |
| TypeScript         |         17 |        775 |         89 |        218 |      1,082 |
| XML                |         19 |         69 |          1 |         19 |         89 |
| JSON with Comments |          2 |         34 |          0 |          2 |         36 |
| Properties         |          1 |          6 |          0 |          2 |          8 |
| Markdown           |          1 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        212 |     34,343 |     11,609 |     11,426 |     57,378 |
| . (Files)                                                                                                               |         12 |      6,894 |          5 |         18 |      6,917 |
| .next                                                                                                                   |        139 |     25,139 |     11,587 |     11,024 |     47,750 |
| .next (Files)                                                                                                           |          4 |         66 |          0 |          0 |         66 |
| .next\server                                                                                                            |         99 |      8,795 |      5,340 |      4,737 |     18,872 |
| .next\server (Files)                                                                                                    |         13 |      2,057 |        581 |        428 |      3,066 |
| .next\server\app                                                                                                        |         10 |      1,207 |        690 |        712 |      2,609 |
| .next\server\app\(auth)                                                                                                 |          4 |        220 |        132 |        126 |        478 |
| .next\server\app\(auth)\sign-in                                                                                         |          2 |        110 |         66 |         63 |        239 |
| .next\server\app\(auth)\sign-in\[[...sigin-in]]                                                                         |          2 |        110 |         66 |         63 |        239 |
| .next\server\app\(auth)\sign-up                                                                                         |          2 |        110 |         66 |         63 |        239 |
| .next\server\app\(auth)\sign-up\[[...sign-up]]                                                                          |          2 |        110 |         66 |         63 |        239 |
| .next\server\app\(root)                                                                                                 |          6 |        987 |        558 |        586 |      2,131 |
| .next\server\app\(root)\(home)                                                                                          |          6 |        987 |        558 |        586 |      2,131 |
| .next\server\app\(root)\(home) (Files)                                                                                  |          2 |        339 |        194 |        202 |        735 |
| .next\server\app\(root)\(home)\personal-room                                                                            |          2 |        319 |        179 |        189 |        687 |
| .next\server\app\(root)\(home)\recordings                                                                               |          2 |        329 |        185 |        195 |        709 |
| .next\server\static                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| .next\server\static\webpack                                                                                             |          1 |          1 |          0 |          0 |          1 |
| .next\server\vendor-chunks                                                                                              |         75 |      5,530 |      4,069 |      3,597 |     13,196 |
| .next\static                                                                                                            |         27 |     15,861 |      6,167 |      6,143 |     28,171 |
| .next\static\chunks                                                                                                     |         12 |     10,909 |      5,946 |      5,768 |     22,623 |
| .next\static\chunks (Files)                                                                                             |          4 |      2,265 |        716 |        579 |      3,560 |
| .next\static\chunks\app                                                                                                 |          8 |      8,644 |      5,230 |      5,189 |     19,063 |
| .next\static\chunks\app (Files)                                                                                         |          1 |        592 |        356 |        357 |      1,305 |
| .next\static\chunks\app\(auth)                                                                                          |          2 |        838 |        502 |        504 |      1,844 |
| .next\static\chunks\app\(auth)\sign-in                                                                                  |          1 |        419 |        251 |        252 |        922 |
| .next\static\chunks\app\(auth)\sign-in\[[...sigin-in]]                                                                  |          1 |        419 |        251 |        252 |        922 |
| .next\static\chunks\app\(auth)\sign-up                                                                                  |          1 |        419 |        251 |        252 |        922 |
| .next\static\chunks\app\(auth)\sign-up\[[...sign-up]]                                                                   |          1 |        419 |        251 |        252 |        922 |
| .next\static\chunks\app\(root)                                                                                          |          5 |      7,214 |      4,372 |      4,328 |     15,914 |
| .next\static\chunks\app\(root) (Files)                                                                                  |          1 |      1,375 |        839 |        812 |      3,026 |
