Date : 2024-10-18 16:41:44
Directory : c:\Users\User\dev\Meeting-App\HaMeetz
Total : 228 files,  36772 codes, 13155 comments, 12873 blanks, all 62800 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\page_client-reference-manifest.js                    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\personal-room\page.js                                | JavaScript         |        318 |        179 |        189 |        686 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\personal-room\page_client-reference-manifest.js      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\previous\page.js                                     | JavaScript         |        328 |        185 |        195 |        708 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\previous\page_client-reference-manifest.js           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\recordings\page.js                                   | JavaScript         |        328 |        185 |        195 |        708 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\recordings\page_client-reference-manifest.js         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\upcoming\page.js                                     | JavaScript         |        328 |        185 |        195 |        708 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\app\(root)\(home)\upcoming\page_client-reference-manifest.js           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\edge-runtime-webpack.js                                                | JavaScript         |      1,061 |        106 |          0 |      1,167 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\interception-route-rewrite-manifest.js                                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware-build-manifest.js                                           | JavaScript         |         20 |          0 |          1 |         21 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware-manifest.json                                               | JSON               |         29 |          0 |          0 |         29 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware-react-loadable-manifest.js                                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\middleware.js                                                          | JavaScript         |        703 |        435 |        427 |      1,565 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\next-font-manifest.js                                                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\next-font-manifest.json                                                | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\pages-manifest.json                                                    | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\server-reference-manifest.js                                           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\server-reference-manifest.json                                         | JSON               |         54 |          0 |          0 |         54 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\static\webpack\633457081244afec._.hot-update.json                      | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@babel.js                                                | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@clerk.js                                                | JavaScript         |        818 |        536 |        587 |      1,941 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@floating-ui.js                                          | JavaScript         |         34 |         29 |         22 |         85 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@kurkle.js                                               | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@protobuf-ts.js                                          | JavaScript         |        142 |        110 |        103 |        355 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@radix-ui.js                                             | JavaScript         |         82 |         65 |         58 |        205 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@stream-io.js                                            | JavaScript         |         26 |         23 |         16 |         65 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\@swc.js                                                  | JavaScript         |         30 |         26 |         19 |         75 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\aria-hidden.js                                           | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\asynckit.js                                              | JavaScript         |         45 |         38 |         31 |        114 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\axios.js                                                 | JavaScript         |        288 |        179 |        172 |        639 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\base64-js.js                                             | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\buffer-equal-constant-time.js                            | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\chart.js.js                                              | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\class-variance-authority.js                              | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\classnames.js                                            | JavaScript         |          9 |         11 |          4 |         24 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\clsx.js                                                  | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\combined-stream.js                                       | JavaScript         |          9 |         11 |          4 |         24 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\cookie.js                                                | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\crypto-js.js                                             | JavaScript         |         85 |         68 |         61 |        214 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\date-fns.js                                              | JavaScript         |        518 |        392 |        385 |      1,295 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\debug.js                                                 | JavaScript         |         21 |         20 |         13 |         54 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\delayed-stream.js                                        | JavaScript         |          9 |         11 |          4 |         24 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\dot-case.js                                              | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\ecdsa-sig-formatter.js                                   | JavaScript         |         22 |         20 |         13 |         55 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\follow-redirects.js                                      | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\get-nonce.js                                             | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\has-flag.js                                              | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\i18next.js                                               | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\isomorphic-ws.js                                         | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\jsonwebtoken.js                                          | JavaScript         |        101 |         80 |         73 |        254 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\jwa.js                                                   | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\jws.js                                                   | JavaScript         |         45 |         38 |         31 |        114 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.includes.js                                       | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isboolean.js                                      | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isinteger.js                                      | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isnumber.js                                       | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isplainobject.js                                  | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.isstring.js                                       | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lodash.once.js                                           | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lower-case.js                                            | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\lucide-react.js                                          | JavaScript         |         22 |         20 |         13 |         55 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\map-obj.js                                               | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\mime-db.js                                               | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\mime-types.js                                            | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\ms.js                                                    | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\next.js                                                  | JavaScript         |      1,720 |      1,059 |      1,047 |      3,826 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\no-case.js                                               | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\proxy-from-env.js                                        | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-chartjs-2.js                                       | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-datepicker.js                                      | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-onclickoutside.js                                  | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-remove-scroll-bar.js                               | JavaScript         |         22 |         20 |         13 |         55 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-remove-scroll.js                                   | JavaScript         |         34 |         29 |         22 |         85 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\react-style-singleton.js                                 | JavaScript         |         22 |         20 |         13 |         55 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\rxjs.js                                                  | JavaScript         |        302 |        230 |        223 |        755 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\safe-buffer.js                                           | JavaScript         |         13 |         14 |          7 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\sdp-transform.js                                         | JavaScript         |         21 |         20 |         13 |         54 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\sdp.js                                                   | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\semver.js                                                | JavaScript         |        367 |        278 |        271 |        916 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\snake-case.js                                            | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\snakecase-keys.js                                        | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\supports-color.js                                        | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\swr.js                                                   | JavaScript         |         18 |         17 |         10 |         45 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\tabbable.js                                              | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\tailwind-merge.js                                        | JavaScript         |         10 |         11 |          4 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\tslib.js                                                 | JavaScript         |         18 |         17 |         10 |         45 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\ua-parser-js.js                                          | JavaScript         |          9 |         11 |          4 |         24 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\use-callback-ref.js                                      | JavaScript         |         18 |         17 |         10 |         45 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\use-sidecar.js                                           | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\use-sync-external-store.js                               | JavaScript         |         14 |         14 |          7 |         35 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\uuid.js                                                  | JavaScript         |         30 |         26 |         19 |         75 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\webrtc-adapter.js                                        | JavaScript         |         50 |         41 |         34 |        125 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\ws.js                                                    | JavaScript         |         62 |         50 |         43 |        155 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\vendor-chunks\yallist.js                                               | JavaScript         |         22 |         20 |         13 |         55 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\server\webpack-runtime.js                                                     | JavaScript         |        185 |         40 |          0 |        225 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app-pages-internals.js                                          | JavaScript         |         63 |         41 |         34 |        138 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\layout.js                                     | JavaScript         |        858 |        515 |        516 |      1,889 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\page.js                                       | JavaScript         |      2,299 |      1,391 |      1,385 |      5,075 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\personal-room\page.js                         | JavaScript         |      1,294 |        785 |        779 |      2,858 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\previous\page.js                              | JavaScript         |      1,383 |        839 |        833 |      3,055 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\recordings\page.js                            | JavaScript         |      1,383 |        839 |        833 |      3,055 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\(home)\upcoming\page.js                              | JavaScript         |      1,383 |        839 |        833 |      3,055 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\(root)\layout.js                                            | JavaScript         |      1,375 |        839 |        812 |      3,026 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\app\layout.js                                                   | JavaScript         |        592 |        356 |        357 |      1,305 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\main-app.js                                                     | JavaScript         |        905 |        551 |        544 |      2,000 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\polyfills.js                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\chunks\webpack.js                                                      | JavaScript         |      1,296 |        124 |          0 |      1,420 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\css\app\layout.css                                                     | CSS                |      4,889 |        165 |        371 |      5,425 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\development\_buildManifest.js                                          | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\development\_ssgManifest.js                                            | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\0fb1b548b8b478ef.webpack.hot-update.json                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\2046652643a68281.webpack.hot-update.json                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\2baeb94d67ee1f83.webpack.hot-update.json                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\3b9352a00b5818e4.webpack.hot-update.json                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\633457081244afec._.hot-update.json                             | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\657da38d014ed1d4.webpack.hot-update.json                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\8016926dcc4ac1ad.webpack.hot-update.json                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\8a7963cfd491991b.webpack.hot-update.json                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\9a846cf59305c18f.webpack.hot-update.json                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\app\(root)\(home)\previous\page.657da38d014ed1d4.hot-update.js | JavaScript         |          7 |         11 |          4 |         22 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\app\layout.0fb1b548b8b478ef.hot-update.js                      | JavaScript         |          7 |         11 |          4 |         22 |
